University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
schiller international university,NA,NA,private for profit,191,minimally difficult,NA,NA,largo,FL,Southern,NA,NA,NA,NA,NA,NA
hodges university,17300,17300,private,1487,minimally difficult,NA,NA,naples,FL,Southern,NA,NA,NA,NA,NA,NA
devry university new york,17512,17512,private for profit,915,minimally difficult,NA,NA,new york,NY,Northeastern,NA,NA,NA,NA,NA,NA
devry university north brunswick,17512,17512,private for profit,583,minimally difficult,NA,NA,north brunswick,NJ,Northeastern,NA,NA,NA,NA,NA,NA
devry university orlando,17512,17512,private for profit,534,minimally difficult,NA,NA,orlando,FL,Southern,NA,NA,NA,NA,NA,NA
devry university crystal city,17512,17512,private for profit,252,minimally difficult,NA,NA,arlington,VA,Southern,NA,NA,NA,NA,NA,NA
colorado technical university,NA,NA,private for profit,1896,minimally difficult,NA,NA,colorado springs,CO,Western,NA,NA,NA,NA,NA,NA
devry university phoenix,17512,17512,private for profit,515,minimally difficult,NA,NA,phoenix,AZ,Western,NA,NA,NA,NA,NA,NA
devry university pomona,17512,17512,private for profit,784,minimally difficult,NA,NA,pomona,CA,California,NA,NA,NA,NA,NA,NA
devry university irving,17512,17512,private for profit,403,minimally difficult,NA,NA,irving,TX,Southern,NA,NA,NA,NA,NA,NA
alliant international university,17640,17640,private,163,minimally difficult,NA,NA,san diego,CA,California,NA,NA,NA,NA,NA,NA
hannibal-lagrange university,21710,21710,private,1303,minimally difficult,NA,NA,hannibal,MO,Midwestern,NA,NA,NA,NA,NA,NA
ashford university,11248,11248,private for profit,9866,minimally difficult,NA,NA,san diego,CA,California,NA,NA,NA,NA,NA,NA
brewton-parker college,18190,18190,private,666,minimally difficult,NA,NA,mt vernon,GA,Southern,NA,NA,NA,NA,NA,NA
midway college,23850,23850,private,1513,minimally difficult,NA,NA,midway,KY,Southern,NA,NA,NA,NA,NA,NA
mount aloysius college,22430,22430,private,1720,minimally difficult,NA,NA,cresson,PA,Northeastern,NA,NA,NA,NA,NA,NA
arkansas baptist college,8760,8760,private,626,minimally difficult,NA,NA,little rock,AR,Southern,NA,NA,NA,NA,NA,NA
great lakes christian college,15550,15550,private,225,minimally difficult,NA,NA,lansing,MI,Midwestern,NA,NA,NA,NA,NA,NA
amridge university,7180,7180,private,315,minimally difficult,NA,NA,montgomery,AL,Southern,NA,NA,NA,NA,NA,NA
martin methodist college,23800,23800,private,924,minimally difficult,NA,NA,pulaski,TN,Southern,NA,NA,NA,NA,NA,NA
ohio christian university,20240,20240,private,4213,minimally difficult,NA,NA,circleville,OH,Midwestern,NA,NA,NA,NA,NA,NA
alaska bible college,9300,9300,private,50,minimally difficult,NA,NA,palmer,AK,Western,NA,NA,NA,NA,NA,NA
southwestern christian university,16950,16950,private,325,minimally difficult,NA,NA,bethany,OK,Southern,NA,NA,NA,NA,NA,NA
capitol college,24788,24788,private,309,minimally difficult,NA,NA,laurel,MD,Southern,NA,NA,NA,NA,NA,NA
devry university atlanta,17512,17512,private for profit,903,minimally difficult,NA,NA,decatur,GA,Southern,NA,NA,NA,NA,NA,NA
our lady of holy cross college,16100,16100,private,1128,minimally difficult,NA,NA,new orleans,LA,Southern,NA,NA,NA,NA,NA,NA
saint joseph seminary college,17490,17490,private,107,minimally difficult,NA,NA,saint benedict,LA,Southern,NA,NA,NA,NA,NA,NA
university of the district of columbia,8060,15956,public,4491,minimally difficult,NA,NA,washington,DC,Southern,NA,NA,NA,NA,NA,NA
southwest minnesota state university,8619,8619,public,6451,minimally difficult,NA,NA,marshall,MN,Midwestern,NA,NA,NA,NA,NA,NA
faith baptist bible college & theological seminary,16766,16766,private,226,minimally difficult,NA,NA,ankeny,IA,Midwestern,NA,NA,NA,NA,NA,NA
bacone college,14850,14850,private,884,minimally difficult,NA,NA,muskogee,OK,Southern,NA,NA,NA,NA,NA,NA
haskell indian nations university,NA,NA,public,894,minimally difficult,NA,NA,lawrence,KS,Midwestern,NA,NA,NA,NA,NA,NA
new orleans baptist theological seminary leavell college,8175,8175,private,974,minimally difficult,NA,NA,new orleans,LA,Southern,NA,NA,NA,NA,NA,NA
western governors university,6070,6070,private,44499,minimally difficult,NA,NA,salt lake city,UT,Western,NA,NA,NA,NA,NA,NA
northcentral university,10680,10680,private for profit,133,minimally difficult,NA,NA,san diego,CA,California,NA,NA,NA,NA,NA,NA
devry university miramar,17512,17512,private for profit,246,minimally difficult,NA,NA,miramar,FL,Southern,NA,NA,NA,NA,NA,NA
devry university ft. washington,NA,NA,private for profit,436,minimally difficult,NA,NA,fort washington,PA,Northeastern,NA,NA,NA,NA,NA,NA
capella university,12060,12060,private for profit,7487,minimally difficult,NA,NA,minneapolis,MN,Midwestern,NA,NA,NA,NA,NA,NA
harrisburg university of science & technology,23900,23900,private,387,minimally difficult,NA,NA,harrisburg,PA,Northeastern,NA,NA,NA,NA,NA,NA
rasmussen college lake elmo/woodbury,13455,13455,private for profit,2169,minimally difficult,NA,NA,lake elmo,MN,Midwestern,NA,NA,NA,NA,NA,NA
trident university international,NA,NA,private for profit,NA,minimally difficult,NA,NA,cypress,CA,California,NA,NA,NA,NA,NA,NA
thomas jefferson university,NA,NA,private,1131,moderately difficult,NA,NA,philadelphia,PA,Northeastern,NA,NA,NA,NA,NA,NA
belmont abbey college,18500,18500,private,1524,moderately difficult,NA,NA,belmont,NC,Southern,NA,NA,NA,NA,NA,NA
mt. sierra college,15688,15688,private for profit,511,moderately difficult,NA,NA,monrovia,CA,California,NA,NA,NA,NA,NA,NA
rocky mountain college of art & design,15870,15870,private for profit,1079,moderately difficult,NA,NA,lakewood,CO,Western,NA,NA,NA,NA,NA,NA
grand canyon university,17170,17170,private for profit,NA,moderately difficult,NA,NA,phoenix,AZ,Western,NA,NA,NA,NA,NA,NA
walla walla university,27495,27495,private,1700,moderately difficult,NA,NA,college place,WA,Western,NA,NA,NA,NA,NA,NA
university of texas health science center houston,5976,25986,public,677,moderately difficult,NA,NA,houston,TX,Southern,NA,NA,NA,NA,NA,NA
golden gate university,15584,15584,private,458,moderately difficult,NA,NA,san francisco,CA,California,NA,NA,NA,NA,NA,NA
beth medrash govoha,20788,20788,private,2747,moderately difficult,NA,NA,lakewood,NJ,Northeastern,NA,NA,NA,NA,NA,NA
chamberlain college of nursing,19500,19500,private for profit,543,moderately difficult,NA,NA,st louis,MO,Midwestern,NA,NA,NA,NA,NA,NA
concordia college alabama,10120,10120,private,611,moderately difficult,NA,NA,selma,AL,Southern,NA,NA,NA,NA,NA,NA
ner israel rabbinical college,11900,11900,private,369,moderately difficult,NA,NA,baltimore,MD,Southern,NA,NA,NA,NA,NA,NA
saint anthony college of nursing,25342,25342,private,238,moderately difficult,NA,NA,rockford,IL,Midwestern,NA,NA,NA,NA,NA,NA
resurrection university,26134,26134,private,609,moderately difficult,NA,NA,chicago,IL,Midwestern,NA,NA,NA,NA,NA,NA
goldfarb school of nursing barnes-jewish college,20188,20188,private,616,moderately difficult,NA,NA,st louis,MO,Midwestern,NA,NA,NA,NA,NA,NA
columbia college of nursing,28900,28900,private,169,moderately difficult,NA,NA,glendale,WI,Midwestern,NA,NA,NA,NA,NA,NA
bellin college,21513,21513,private,362,moderately difficult,NA,NA,green bay,WI,Midwestern,NA,NA,NA,NA,NA,NA
allen college,20243,20243,private,360,moderately difficult,NA,NA,waterloo,IA,Midwestern,NA,NA,NA,NA,NA,NA
lakeview college of nursing,16160,16160,private,236,moderately difficult,NA,NA,danville,IL,Midwestern,NA,NA,NA,NA,NA,NA
university of puerto rico medical sciences campus,2196,2196,public,535,moderately difficult,NA,NA,san juan,PR,NA,NA,NA,NA,NA,NA,NA
inter american university of puerto rico arecibo campus,6180,6180,private,4547,moderately difficult,NA,NA,arecibo,PR,NA,NA,NA,NA,NA,NA,NA
washington adventist university,23400,23400,private,1327,moderately difficult,NA,NA,takoma park,MD,Southern,NA,NA,NA,NA,NA,NA
trinity washington university,23690,23690,private,1043,moderately difficult,NA,NA,washington,DC,Southern,NA,NA,NA,NA,NA,NA
wilmington college,25500,25500,private,1432,moderately difficult,NA,NA,wilmington,OH,Midwestern,NA,NA,NA,NA,NA,NA
american academy of art,33100,33100,private,297,moderately difficult,NA,NA,chicago,IL,Midwestern,NA,NA,NA,NA,NA,NA
hebrew theological college,12430,12430,private,415,moderately difficult,NA,NA,skokie,IL,Midwestern,NA,NA,NA,NA,NA,NA
machzikei hadath rabbinical college,11500,11500,private,112,moderately difficult,NA,NA,brooklyn,NY,Northeastern,NA,NA,NA,NA,NA,NA
northeast catholic college,NA,NA,NA,68,moderately difficult,NA,NA,warner,NH,Northeastern,NA,NA,NA,NA,NA,NA
mesivta torah vodaath seminary,10000,10000,private,240,moderately difficult,NA,NA,brooklyn,NY,Northeastern,NA,NA,NA,NA,NA,NA
midstate college,16230,16230,private for profit,641,moderately difficult,NA,NA,peoria,IL,Midwestern,NA,NA,NA,NA,NA,NA
rabbinical college bobover yeshiva b'nei zion,7750,7750,private,197,moderately difficult,NA,NA,brooklyn,NY,Northeastern,NA,NA,NA,NA,NA,NA
talmudical yeshiva of philadelphia,8900,8900,private,124,moderately difficult,NA,NA,philadelphia,PA,Northeastern,NA,NA,NA,NA,NA,NA
antioch university santa barbara,22575,22575,private,128,moderately difficult,NA,NA,santa barbara,CA,California,NA,NA,NA,NA,NA,NA
boston baptist college,12600,12600,private,96,moderately difficult,NA,NA,boston,MA,Northeastern,NA,NA,NA,NA,NA,NA
curtis institute of music,NA,NA,private,135,most difficult,NA,NA,philadelphia,PA,Northeastern,NA,NA,NA,NA,NA,NA
university of phoenix,NA,NA,private for profit,3718,noncompetitive,NA,NA,tempe,AZ,Western,NA,NA,NA,NA,NA,NA
conception seminary college,21326,21326,private,NA,noncompetitive,NA,NA,conception,MO,Midwestern,NA,NA,NA,NA,NA,NA
university of the potomac,NA,NA,private for profit,165,noncompetitive,NA,NA,washington,DC,Southern,NA,NA,NA,NA,NA,NA
platt college,NA,NA,private for profit,134,noncompetitive,NA,NA,aurora,CO,Western,NA,NA,NA,NA,NA,NA
pacific states university,16005,16005,private,19,noncompetitive,NA,NA,los angeles,CA,California,NA,NA,NA,NA,NA,NA
beulah heights university,9830,9830,private,454,noncompetitive,NA,NA,atlanta,GA,Southern,NA,NA,NA,NA,NA,NA
peirce college,18660,18660,private,1491,noncompetitive,NA,NA,philadelphia,PA,Northeastern,NA,NA,NA,NA,NA,NA
stevens-henager college ogden,NA,NA,private for profit,364,noncompetitive,NA,NA,west haven,UT,Western,NA,NA,NA,NA,NA,NA
bellevue university,9340,9340,private,6828,noncompetitive,NA,NA,bellevue,NE,Midwestern,NA,NA,NA,NA,NA,NA
chadron state college,7031,7061,public,2199,noncompetitive,NA,NA,chadron,NE,Midwestern,NA,NA,NA,NA,NA,NA
national american university rapid city,17175,17175,private for profit,481,noncompetitive,NA,NA,rapid city,SD,Midwestern,NA,NA,NA,NA,NA,NA
patten university,3432,3432,private,994,noncompetitive,NA,NA,oakland,CA,California,NA,NA,NA,NA,NA,NA
franklin university,15295,15295,private,4676,noncompetitive,NA,NA,columbus,OH,Midwestern,NA,NA,NA,NA,NA,NA
university of alaska southeast,7710,23100,public,3073,noncompetitive,NA,NA,juneau,AK,Western,NA,NA,NA,NA,NA,NA
harris-stowe state university,5220,9853,public,1464,noncompetitive,NA,NA,st louis,MO,Midwestern,NA,NA,NA,NA,NA,NA
john f. kennedy university,17721,17721,private,287,noncompetitive,NA,NA,pleasant hill,CA,California,NA,NA,NA,NA,NA,NA
national university,16350,16350,private,8314,noncompetitive,NA,NA,la jolla,CA,California,NA,NA,NA,NA,NA,NA
thomas edison state college,7300,9820,public,16506,noncompetitive,NA,NA,trenton,NJ,Northeastern,NA,NA,NA,NA,NA,NA
union institute & university,16076,16076,private,837,noncompetitive,NA,NA,cincinnati,OH,Midwestern,NA,NA,NA,NA,NA,NA
athens state university,6690,12630,public,3025,noncompetitive,NA,NA,athens,AL,Southern,NA,NA,NA,NA,NA,NA
texas a&m university texarkana,7635,21900,public,1061,noncompetitive,NA,NA,texarkana,TX,Southern,NA,NA,NA,NA,NA,NA
humphreys college,14004,14004,private,669,noncompetitive,NA,NA,stockton,CA,California,NA,NA,NA,NA,NA,NA
charter oak state college,9771,12591,public,1533,noncompetitive,NA,NA,new britain,CT,Northeastern,NA,NA,NA,NA,NA,NA
sinte gleska university,3700,3700,public,869,noncompetitive,NA,NA,mission,SD,Midwestern,NA,NA,NA,NA,NA,NA
southwestern christian college,8074,8074,private,NA,noncompetitive,NA,NA,terrell,TX,Southern,NA,NA,NA,NA,NA,NA
trinity bible college,16040,16040,private,197,noncompetitive,NA,NA,ellendale,ND,Midwestern,NA,NA,NA,NA,NA,NA
mid-america christian university,17830,17830,private,869,noncompetitive,NA,NA,oklahoma city,OK,Southern,NA,NA,NA,NA,NA,NA
southeastern baptist college,6550,6550,private,79,noncompetitive,NA,NA,laurel,MS,Southern,NA,NA,NA,NA,NA,NA
ozark christian college,11980,11980,private,NA,noncompetitive,NA,NA,joplin,MO,Midwestern,NA,NA,NA,NA,NA,NA
baptist missionary association theological seminary,5650,5650,private,56,noncompetitive,NA,NA,jacksonville,TX,Southern,NA,NA,NA,NA,NA,NA
walsh college,14050,14050,private,935,noncompetitive,NA,NA,troy,MI,Midwestern,NA,NA,NA,NA,NA,NA
north central university,23490,23490,private,1125,noncompetitive,NA,NA,minneapolis,MN,Midwestern,NA,NA,NA,NA,NA,NA
hamilton technical college,NA,NA,private for profit,NA,noncompetitive,NA,NA,davenport,IA,Midwestern,NA,NA,NA,NA,NA,NA
global university,24958,24958,private,4176,noncompetitive,NA,NA,springfield,MO,Midwestern,NA,NA,NA,NA,NA,NA
independence university,NA,NA,private for profit,NA,noncompetitive,NA,NA,salt lake city,UT,Western,NA,NA,NA,NA,NA,NA
dalton state college,4212,12634,public,5188,noncompetitive,NA,NA,dalton,GA,Southern,NA,NA,NA,NA,NA,NA
grantham university,6540,6540,private for profit,7898,noncompetitive,NA,NA,lenexa,KS,Midwestern,NA,NA,NA,NA,NA,NA
hobe sound bible college,6490,6490,private,NA,noncompetitive,NA,NA,hobe sound,FL,Southern,NA,NA,NA,NA,NA,NA
holy trinity orthodox seminary,7450,7450,private,58,noncompetitive,NA,NA,jordanville,NY,Northeastern,NA,NA,NA,NA,NA,NA
national american university rio rancho,16200,16200,private for profit,336,noncompetitive,NA,NA,albuquerque,NM,Western,NA,NA,NA,NA,NA,NA
ohio university lancaster,5060,9596,public,1728,noncompetitive,NA,NA,lancaster,OH,Midwestern,NA,NA,NA,NA,NA,NA
ohio university eastern,4806,6718,public,751,noncompetitive,NA,NA,st clairsville,OH,Midwestern,NA,NA,NA,NA,NA,NA
st. augustine college,16500,16500,private,1430,noncompetitive,NA,NA,chicago,IL,Midwestern,NA,NA,NA,NA,NA,NA
columbia southern university,6635,6635,private for profit,15573,noncompetitive,NA,NA,orange beach,AL,Southern,NA,NA,NA,NA,NA,NA
antioch university seattle,27435,27435,private,103,noncompetitive,NA,NA,seattle,WA,Western,NA,NA,NA,NA,NA,NA
virginia university of lynchburg,9000,9000,private,233,noncompetitive,NA,NA,lynchburg,VA,Southern,NA,NA,NA,NA,NA,NA
randall university,12640,12640,private,225,noncompetitive,NA,NA,moore,OK,Southern,NA,NA,NA,NA,NA,NA
florida career college,NA,NA,private for profit,3952,noncompetitive,NA,NA,miami,FL,Southern,NA,NA,NA,NA,NA,NA
medical university of south carolina,15168,23182,public,205,very difficult,NA,NA,charleston,SC,Southern,NA,NA,NA,NA,NA,NA
university of texas medical branch,7422,19954,public,492,very difficult,NA,NA,galveston,TX,Southern,NA,NA,NA,NA,NA,NA
saint luke's college of health sciences,15674,15674,private,113,very difficult,NA,NA,kansas city,MO,Midwestern,NA,NA,NA,NA,NA,NA
everglades university orlando,NA,NA,NA,1313,noncompetitive,0.84,354,maitland,FL,Southern,NA,NA,NA,NA,NA,NA
university of puerto rico cayey,NA,NA,public,3830,moderately difficult,0.78,2471,cayey,PR,NA,NA,NA,NA,NA,NA,NA
united states naval academy,NA,NA,public,4525,very difficult,0.09,16101,annapolis,MD,Southern,NA,NA,NA,NA,NA,NA
united states air force academy,NA,NA,public,4237,most difficult,0.15,9894,usaf academy,CO,Western,NA,NA,NA,NA,NA,NA
united states coast guard academy,NA,NA,public,986,very difficult,0.15,2026,new london,CT,Northeastern,NA,NA,NA,NA,NA,NA
united states merchant marine academy,NA,NA,public,904,very difficult,0.15,1872,kings point,NY,Northeastern,NA,NA,NA,NA,NA,NA
columbia college,NA,NA,private,936,minimally difficult,0.51,1580,columbia,MO,Midwestern,NA,NA,NA,NA,NA,NA
macmurray college,NA,NA,private,552,moderately difficult,0.54,1076,jacksonville,IL,Midwestern,NA,NA,NA,NA,NA,NA
columbia college,NA,NA,private for profit,1750,noncompetitive,0.54,967,caguas,PR,NA,NA,NA,NA,NA,NA,NA
edp university of puerto rico,NA,NA,private for profit,1574,noncompetitive,0.61,342,hato rey,PR,NA,NA,NA,NA,NA,NA,NA
central christian college of the bible,NA,NA,private,417,noncompetitive,0.65,354,moberly,MO,Midwestern,NA,NA,NA,NA,NA,NA
sullivan university,NA,NA,private for profit,2504,minimally difficult,0.77,3091,louisville,KY,Southern,NA,NA,NA,NA,NA,NA
university of puerto rico mayaguez,NA,NA,public,12758,moderately difficult,0.77,3275,mayag<fc>ez,PR,NA,NA,NA,NA,NA,NA,NA
state university of new york of agriculture & technology cobleskill,NA,NA,NA,2304,minimally difficult,0.78,2897,cobleskill,NY,Northeastern,NA,NA,NA,NA,NA,NA
new charter university,NA,NA,private for profit,230,noncompetitive,0.87,115,salt lake city,UT,Western,NA,NA,NA,NA,NA,NA
columbia college,NA,NA,private,1554,moderately difficult,0.89,506,columbia,SC,Southern,NA,NA,NA,NA,NA,NA
city university of seattle,NA,NA,private,1035,noncompetitive,1,86,seattle,WA,Western,NA,NA,NA,NA,NA,NA
